weekday,OorzaakGronddetail,0
Friday,Afremmend verkeer als gevolg van kijkers naar  ongeval(len),2
Friday,Defect voertuig (met opruim/berging en spitsfile),1
Friday,Defect(e) voertuig(en),4
Friday,Defecte bus(sen),1
Friday,Defecte vrachtwagen(s),1
Friday,Eerder incident op aansluitende weg,1
Friday,File buiten spits (geen oorzaak gemeld),24
Friday,Ongeval met vrachtwagen(s),3
Friday,Ongeval(len),13
Friday,Opruimingswerkzaamheden,1
Friday,Spitsfile (geen oorzaak gemeld),275
Friday,Wegwerkzaamheden,2
Monday,Brandend(e) voertuig(en),1
Monday,Defect voertuig (en daarna ongeval),1
Monday,Eerder(e) ongeval(len),1
Monday,File buiten spits (geen oorzaak gemeld),1
Monday,Ongeval (met opruim/berging),1
Monday,Ongeval(len),3
Monday,Spitsfile (geen oorzaak gemeld),204
Monday,Voorwerpen op de weg,1
Monday,Wegwerkzaamheden,1
Saturday,Afremmend verkeer als gevolg van kijkers naar  ongeval(len),1
Saturday,Defect voertuig (en daarna ongeval),1
Saturday,Defecte vrachtwagen(s),1
Saturday,Extra verkeersdrukte door verkeer dat een omleiding volgt,1
Saturday,File buiten spits (geen oorzaak gemeld),3
Saturday,Ongeval (met opruim/berging),1
Saturday,Ongeval met vrachtwagen(s),1
Saturday,Ongeval(len),4
Saturday,Wegwerkzaamheden,4
Sunday,Defect(e) voertuig(en),1
Sunday,Dier(en) in nood,1
Sunday,File buiten spits (geen oorzaak gemeld),7
Sunday,Obstakel(s) op de weg {iets dat de weg of een deel ervan blo,1
Sunday,Ongeval(len),2
Sunday,Onwelwording,1
Sunday,Wegwerkzaamheden,1
Thursday,Brandend(e) voertuig(en),1
Thursday,Defect(e) voertuig(en),1
Thursday,Defecte vrachtwagen (en spitsfile),1
Thursday,Defecte vrachtwagen(s),3
Thursday,Eerder pechgeval,1
Thursday,File buiten spits (geen oorzaak gemeld),8
Thursday,Object op de weg (met opruim/berging),1
Thursday,Ongeval (len) met olielekkage,1
Thursday,Ongeval op aansluitende weg,1
Thursday,Ongeval(len),8
Thursday,Ophoogscript,1
Thursday,Spitsfile (geen oorzaak gemeld),346
Thursday,Voorwerpen op de weg,1
Tuesday,Defecte vrachtwagen(s),2
Tuesday,File buiten spits (geen oorzaak gemeld),14
Tuesday,Ongeval (met opruim/berging),1
Tuesday,Ongeval met vrachtwagen(s),1
Tuesday,Ongeval op aansluitende weg,1
Tuesday,Ongeval vrachtwagen (in een spitsfile),1
Tuesday,Ongeval vrachtwagen (met opruim/berging in een spitsfile),1
Tuesday,Ongeval(len),8
Tuesday,Onwelwording,1
Tuesday,Opruimwerkzaamheden,1
Tuesday,Spitsfile (geen oorzaak gemeld),375
Tuesday,Spitsfile (met ongeval),1
Wednesday,Afremmend verkeer als gevolg van kijkers naar  ongeval(len),2
Wednesday,Bermbrand,1
Wednesday,Defect(e) voertuig(en),2
Wednesday,Defecte vrachtwagen(s),1
Wednesday,File buiten spits (geen oorzaak gemeld),8
Wednesday,Ongeval (met ander incident),1
Wednesday,Ongeval (met opruim/berging),2
Wednesday,Ongeval(len),8
Wednesday,Spitsfile (geen oorzaak gemeld),177
Wednesday,Spitsfile (met ongeval),1
Wednesday,Voorwerpen op de weg,1
Wednesday,Wegwerkzaamheden,1
