,DatumFileBegin,TijdFileBegin,FileDuur,RouteOms,OorzaakGronddetail,nr_accidents,weekday
2599,2016-09-03,0 days 11:28:00,81.133,A2,Defect voertuig (en daarna ongeval),4,Saturday
2787,2016-09-03,0 days 13:53:00,7.533,A2,File buiten spits (geen oorzaak gemeld),824,Saturday
2573,2016-09-03,0 days 14:13:00,52.767,A2,Defecte vrachtwagen(s),89,Saturday
595,2016-09-03,0 days 20:30:00,131.533,A2,Wegwerkzaamheden,123,Saturday
9225,2016-09-04,0 days 14:38:00,13.6,A2,Obstakel(s) op de weg {iets dat de weg of een deel ervan blo,2,Sunday
3181,2016-09-04,0 days 14:41:00,44.933,A2,Ongeval(len),359,Sunday
99,2016-09-04,0 days 15:31:00,29.533,A2,Onwelwording,7,Sunday
6197,2016-09-10,0 days 11:26:00,107.417,A2,Ongeval(len),359,Saturday
6830,2016-09-10,0 days 11:58:00,2.533,A2,Ongeval(len),359,Saturday
9411,2016-09-10,0 days 12:00:00,115.467,A2,Ongeval (met opruim/berging),52,Saturday
9484,2016-09-10,0 days 12:20:00,81.233,A2,Afremmend verkeer als gevolg van kijkers naar  ongeval(len),25,Saturday
6827,2016-09-10,0 days 12:38:00,104.45,A2,Extra verkeersdrukte door verkeer dat een omleiding volgt,8,Saturday
6445,2016-09-10,0 days 13:16:00,41.517,A2,Ongeval(len),359,Saturday
9351,2016-09-10,0 days 14:21:00,11.583,A2,File buiten spits (geen oorzaak gemeld),824,Saturday
9646,2016-09-17,0 days 18:52:00,38.983,A2,Ongeval(len),359,Saturday
8321,2016-09-17,0 days 22:48:00,66.1,A2,Wegwerkzaamheden,123,Saturday
9826,2016-09-18,0 days 11:57:00,43.05,A2,Dier(en) in nood,1,Sunday
9915,2016-09-18,0 days 14:46:00,71.25,A2,Defect(e) voertuig(en),117,Sunday
10583,2016-09-18,0 days 17:42:00,11.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
7936,2016-09-24,0 days 08:27:00,42.417,A2,Ongeval met vrachtwagen(s),22,Saturday
1224,2016-09-24,0 days 12:50:00,23.883,A2,File buiten spits (geen oorzaak gemeld),824,Saturday
12093,2016-09-24,0 days 13:00:00,66.767,A2,Wegwerkzaamheden,123,Saturday
12170,2016-09-24,0 days 21:45:00,84.6,A2,Wegwerkzaamheden,123,Saturday
8348,2016-09-25,0 days 08:31:00,2.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
8347,2016-09-25,0 days 08:37:00,4.75,A2,Wegwerkzaamheden,123,Sunday
7948,2016-09-25,0 days 17:05:00,5.9,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
7847,2016-09-25,0 days 17:22:00,8.933,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
1755,2016-09-25,0 days 17:32:00,46.9,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
2151,2016-09-25,0 days 18:20:00,22.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
7648,2016-09-25,0 days 19:19:00,10.867,A2,File buiten spits (geen oorzaak gemeld),824,Sunday
1765,2016-09-25,0 days 20:38:00,57.433,A2,Ongeval(len),359,Sunday
